country,timezone
Sweden,Europe/Stockholm
USA,America/New_York
United Kingdom,Europe/London
Germany,Europe/Berlin
France,Europe/Paris
India,Asia/Kolkata
China,Asia/Shanghai
Japan,Asia/Tokyo
Australia,Australia/Sydney
Brazil,America/Sao_Paulo
South Africa,Africa/Johannesburg
Mexico,America/Mexico_City
Russia,Europe/Moscow
Canada,America/Toronto
Argentina,America/Argentina/Buenos_Aires
Turkey,Europe/Istanbul
Indonesia,Asia/Jakarta
Afghanistan,Asia/Kabul
Iran,Asia/Tehran
South Korea,Asia/Seoul
Italy,Europe/Rome
Spain,Europe/Madrid
Netherlands,Europe/Amsterdam
Switzerland,Europe/Zurich
Belgium,Europe/Brussels
Austria,Europe/Vienna
Portugal,Europe/Lisbon
Greece,Europe/Athens
